Date,Forecast Sales
2013-12-29,7126.8799999999965
2013-12-30,7061.099999999999
2013-12-31,0.0
2014-01-01,0.0
2014-01-02,6394.8200000000015
2014-01-03,8549.039999999995
2014-01-04,0.0
2014-01-05,6577.880000000002
2014-01-06,7598.800000000004
2014-01-07,8058.6799999999985
2014-01-08,8507.84
2014-01-09,10125.58
2014-01-10,11707.500000000004
2014-01-11,0.0
2014-01-12,7159.539999999999
2014-01-13,7367.100000000001
2014-01-14,7419.199999999998
2014-01-15,7446.5
2014-01-16,8033.119999999999
2014-01-17,8478.040000000005
2014-01-18,0.0
2014-01-19,6495.459999999998
2014-01-20,7553.159999999998
2014-01-21,8170.800000000002
2014-01-22,8823.939999999999
2014-01-23,9960.800000000005
2014-01-24,11674.019999999999
2014-01-25,0.0
2014-01-26,7129.720000000001
2014-01-27,7852.520000000003
2014-01-28,7459.439999999999
2014-01-29,7622.84
2014-01-30,7846.84
2014-01-31,8410.66
2014-02-01,0.0
2014-02-02,5914.420000000001
2014-02-03,7506.539999999999
2014-02-04,7617.259999999999
2014-02-05,8062.780000000004
2014-02-06,8719.779999999999
2014-02-07,9806.660000000002
2014-02-08,0.0
