Date,Forecast Sales
2013-12-30,6219.516792193102
2013-12-31,7384.853972822629
2014-01-01,4883.3668914453
2014-01-02,4934.977710323789
2014-01-03,7038.757401944475
2014-01-04,9015.904359978365
2014-01-05,47.166666666666664
2014-01-06,6226.556518408202
2014-01-07,7286.336049537635
2014-01-08,7656.891571082785
2014-01-09,7911.697332284661
2014-01-10,8134.50238123615
2014-01-11,10336.298751002583
2014-01-12,0.0
2014-01-13,5873.031313262802
2014-01-14,7582.705425221378
2014-01-15,6833.3105153165325
2014-01-16,7120.929804275357
2014-01-17,7297.094906157313
2014-01-18,7669.835712019221
2014-01-19,59.291111111111114
2014-01-20,5916.995678853613
2014-01-21,7291.2421329006065
2014-01-22,7618.470841648044
2014-01-23,7530.445764944184
2014-01-24,8838.546403567825
2014-01-25,9864.043208037952
2014-01-26,135.5561111111111
2014-01-27,6096.491787246828
2014-01-28,7936.896322418086
2014-01-29,7445.908630683809
2014-01-30,7217.789009480301
2014-01-31,7640.160955412112
2014-02-01,7944.199094495509
2014-02-02,0.0
2014-02-03,5718.851114562248
2014-02-04,7073.907369046131
2014-02-05,7428.823528558811
2014-02-06,7770.529412641135
2014-02-07,8711.753339991837
2014-02-08,9461.883850095322
2014-02-09,0.0
